Altium Designer Pick and Place Locations
C:\Jeonghyun\SNU_GIT\QSTL_M12C_BNC\QSTL_M12C_BNC\Project Outputs for QSTL_M12C_BNC\Pick Place for QSTL_M12C_BNC.csv

========================================================================================================================
File Design Information:

Date:       27-10-25
Time:       20:31
Revision:   16b6eb50d853b24bd36d3446707abe2aa0ae3678
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"M4","M2 Hole","TopLayer","M2_Hole","3.0000","3.0000","0",""
"M3","M2 Hole","TopLayer","M2_Hole","57.0000","3.0000","0",""
"M2","M2 Hole","TopLayer","M2_Hole","57.0000","27.0000","0",""
"M1","M2 Hole","TopLayer","M2_Hole","3.0000","27.0000","0",""
"J3","12 Pin Header","TopLayer","PZ254-2-06-S","40.0000","24.0000","180","https://jlcpcb.com/partdetail/HCTL-PZ254_2_06S/C3294464"
"J2","Stacked BNC","TopLayer","031-6590","42.0000","10.0050","0","https://www.digikey.ca/en/products/detail/amphenol-rf/031-6590/4037245"
"J1","M12 5P Connector","TopLayer","861-B05-213R004","20.0000","9.4000","0","https://www.digikey.ca/en/products/detail/norcomp-inc/861-B05-213R004/22611951?s=N4IgTCBcDaIBwDYCMBaAQgBgKwrEgzAEoYYAsIAugL5A"
